TransactionID,Date,Year,Month,Month_Name,Quarter,Season,State,District,Product,Category,Quantity_MT,Unit_Price,Discount_Pct,Revenue,COGS,Gross_Profit,Channel,SalesRep,CustomerType,ReturnFlag
TXN00001,8/17/2022,2022,8,Aug,Q3,Kharif,Uttar Pradesh,Kanpur,NPK 10-26-26,Complex,124,1179.6,0.017,146270.4,101680,44590.4,Dealer,SR-022,Small Farmer,No
TXN00002,5/14/2024,2024,5,May,Q2,Kharif,Uttar Pradesh,Lucknow,DAP,Phosphatic,121,1312.2,0.028,158776.2,108900,49876.2,Online Portal,SR-001,Medium Farmer,Yes
TXN00003,1/21/2025,2025,1,Jan,Q1,Rabi,Bihar,Muzaffarpur,Zinc Sulphate,Micronutrient,311,338.45,0.033,105257.95,55980,49277.95,Dealer,SR-025,Medium Farmer,No
TXN00004,11/28/2023,2023,11,Nov,Q4,Rabi,Rajasthan,Jodhpur,NPK 10-26-26,Complex,500,1089.6,0.092,544800,410000,134800,Dealer,SR-003,Cooperative,No
TXN00005,1/6/2024,2024,1,Jan,Q1,Rabi,Maharashtra,Kolhapur,SSP,Phosphatic,423,417.9,0.005,176771.7,84600,92171.7,Cooperative Society,SR-018,Small Farmer,No
TXN00006,6/11/2022,2022,6,Jun,Q2,Kharif,Andhra Pradesh,Kurnool,Ammonium Sulphate,Nitrogenous,305,635.05,0.023,193690.25,106750,86940.25,Dealer,SR-002,Medium Farmer,No
TXN00007,6/13/2022,2022,6,Jun,Q2,Kharif,Madhya Pradesh,Bhopal,Calcium Nitrate,Nitrogenous,152,804.1,0.054,122223.2,76000,46223.2,Government Scheme,SR-006,Large Farmer,No
TXN00008,3/6/2023,2023,3,Mar,Q1,Kharif,Rajasthan,Jaipur,MOP,Potassic,283,821.7,0.087,232541.1,169800,62741.1,Direct Farm,SR-015,Cooperative,No
TXN00009,2/14/2025,2025,2,Feb,Q1,Rabi,Madhya Pradesh,Gwalior,Urea,Nitrogenous,127,540.6,0.099,68656.2,35560,33096.2,Government Scheme,SR-013,Large Farmer,No
TXN00010,3/9/2023,2023,3,Mar,Q1,Kharif,Karnataka,Hubli,NPK 10-26-26,Complex,345,1128,0.06,389160,282900,106260,Cooperative Society,SR-005,Large Farmer,No
TXN00011,5/21/2023,2023,5,May,Q2,Kharif,Andhra Pradesh,Nellore,SSP,Phosphatic,392,390.6,0.07,153115.2,78400,74715.2,Online Portal,SR-013,Large Farmer,No
TXN00012,10/11/2022,2022,10,Oct,Q4,Rabi,Andhra Pradesh,Vijayawada,DAP,Phosphatic,396,1341.9,0.006,531392.4,356400,174992.4,Dealer,SR-005,Medium Farmer,No
TXN00013,5/11/2022,2022,5,May,Q2,Kharif,Bihar,Bhagalpur,Zinc Sulphate,Micronutrient,280,339.5,0.03,95060,50400,44660,Online Portal,SR-028,Small Farmer,No
TXN00014,1/4/2025,2025,1,Jan,Q1,Rabi,Rajasthan,Udaipur,DAP,Phosphatic,160,1279.8,0.052,204768,144000,60768,Cooperative Society,SR-001,Large Farmer,No
TXN00015,1/1/2023,2023,1,Jan,Q1,Rabi,Andhra Pradesh,Guntur,SSP,Phosphatic,440,387.66,0.077,170570.4,88000,82570.4,Online Portal,SR-007,Medium Farmer,No
TXN00016,11/27/2022,2022,11,Nov,Q4,Rabi,Andhra Pradesh,Nellore,Urea,Nitrogenous,316,576.6,0.039,182205.6,88480,93725.6,Dealer,SR-004,Large Farmer,No
TXN00017,5/6/2023,2023,5,May,Q2,Kharif,Uttar Pradesh,Agra,DAP,Phosphatic,53,1231.2,0.088,65253.6,47700,17553.6,Dealer,SR-025,Medium Farmer,No
TXN00018,8/31/2024,2024,8,Aug,Q3,Kharif,Andhra Pradesh,Visakhapatnam,SSP,Phosphatic,280,375.9,0.105,105252,56000,49252,Cooperative Society,SR-007,Medium Farmer,No
TXN00019,3/28/2024,2024,3,Mar,Q1,Kharif,Maharashtra,Nagpur,Zinc Sulphate,Micronutrient,71,339.5,0.03,24104.5,12780,11324.5,Dealer,SR-011,Small Farmer,No
TXN00020,2/8/2025,2025,2,Feb,Q1,Rabi,Madhya Pradesh,Ujjain,NPK 10-26-26,Complex,13,1189.2,0.009,15459.6,10660,4799.6,Dealer,SR-008,Small Farmer,No
TXN00021,11/8/2023,2023,11,Nov,Q4,Rabi,Punjab,Bathinda,NPK 10-26-26,Complex,152,1104,0.08,167808,124640,43168,Direct Farm,SR-018,Medium Farmer,No
TXN00022,3/26/2025,2025,3,Mar,Q1,Kharif,Gujarat,Surat,Zinc Sulphate,Micronutrient,423,332.85,0.049,140795.55,76140,64655.55,Dealer,SR-004,Cooperative,No
